date,jobcountry,AI_share_postings
2019-01-01,AU,2.31718828080176
2019-01-01,CA,1.79869206928125
2019-01-01,DE,1.99233743558568
2019-01-01,FR,2.57585043306185
2019-01-01,GB,2.23035743047536
2019-01-01,IE,4.1926752471966
2019-01-01,IT,2.19997829861111
2019-01-01,NL,1.69124370232638
2019-01-01,US,1.71389939606054
2019-01-02,AU,2.31793529974204
2019-01-02,CA,1.80507765661351
2019-01-02,DE,1.98811678816742
2019-01-02,FR,2.57758010703754
2019-01-02,GB,2.23073833486274
2019-01-02,IE,4.20107743135435
2019-01-02,IT,2.19820148852509
2019-01-02,NL,1.69509349097232
2019-01-02,US,1.71299097251629
2019-01-03,AU,2.3119195580016
2019-01-03,CA,1.80265367774725
2019-01-03,DE,1.98966710047449
2019-01-03,FR,2.57316031304275
2019-01-03,GB,2.22243186292033
2019-01-03,IE,4.16674975862486
2019-01-03,IT,2.19075330233516
2019-01-03,NL,1.69424391333556
2019-01-03,US,1.7055647136485
2019-01-04,AU,2.3088731066657
2019-01-04,CA,1.80078540513258
2019-01-04,DE,1.99205127196532
2019-01-04,FR,2.57195193513039
2019-01-04,GB,2.21069708582666
2019-01-04,IE,4.1476872328668
2019-01-04,IT,2.19810848565646
2019-01-04,NL,1.69067874274993
2019-01-04,US,1.70824278137572
2019-01-05,AU,2.30149330066562
2019-01-05,CA,1.79469686397937
2019-01-05,DE,1.99097428045019
2019-01-05,FR,2.56787875033921
2019-01-05,GB,2.1937972179927
2019-01-05,IE,4.13366923905103
2019-01-05,IT,2.20422588550503
2019-01-05,NL,1.68843550859534
2019-01-05,US,1.70738074400332
2019-01-06,AU,2.30283740586648
2019-01-06,CA,1.79545505119157
2019-01-06,DE,1.98935266997878
2019-01-06,FR,2.56514750415974
2019-01-06,GB,2.18915379896
2019-01-06,IE,4.13249425026087
2019-01-06,IT,2.20881172485689
2019-01-06,NL,1.69034308366103
2019-01-06,US,1.70968252010038
2019-01-07,AU,2.30266271437719
2019-01-07,CA,1.79788292203929
2019-01-07,DE,1.98871995875577
2019-01-07,FR,2.56108296719087
2019-01-07,GB,2.18731081698616
2019-01-07,IE,4.13939207177314
2019-01-07,IT,2.21258430915185
2019-01-07,NL,1.69248017980034
2019-01-07,US,1.7117052677661
2019-01-08,AU,2.29334773575652
2019-01-08,CA,1.80084158510232
2019-01-08,DE,1.98865524772464
2019-01-08,FR,2.55058555533613
2019-01-08,GB,2.17989315821631
2019-01-08,IE,4.13791429746901
2019-01-08,IT,2.21811096683299
2019-01-08,NL,1.70794448161279
2019-01-08,US,1.71879624133826
2019-01-09,AU,2.27928146867042
2019-01-09,CA,1.79848970634714
2019-01-09,DE,1.98646074145867
2019-01-09,FR,2.53648841149518
2019-01-09,GB,2.16268142101916
2019-01-09,IE,4.12302700959336
2019-01-09,IT,2.2178525664443
2019-01-09,NL,1.72113018756492
2019-01-09,US,1.71991274705757
2019-01-10,AU,2.26484671742741
2019-01-10,CA,1.7992510998564
2019-01-10,DE,1.98206473290013
2019-01-10,FR,2.52245187676608
2019-01-10,GB,2.14652367533698
2019-01-10,IE,4.11466056712366
2019-01-10,IT,2.2199156629446
2019-01-10,NL,1.73582814852354
2019-01-10,US,1.72385351004261
2019-01-11,AU,2.24813064032103
2019-01-11,CA,1.79921492726459
2019-01-11,DE,1.97598896557982
2019-01-11,FR,2.50562400202107
2019-01-11,GB,2.12659910387909
2019-01-11,IE,4.0920036298171
2019-01-11,IT,2.21175673843596
2019-01-11,NL,1.74920840305305
2019-01-11,US,1.7207045419711
2019-01-12,AU,2.23756897897988
2019-01-12,CA,1.79996986614551
2019-01-12,DE,1.97195320190994
2019-01-12,FR,2.4903288918206
2019-01-12,GB,2.10791746431117
2019-01-12,IE,4.05666437063331
2019-01-12,IT,2.19494250496783
2019-01-12,NL,1.76370769210904
2019-01-12,US,1.71805806462999
2019-01-13,AU,2.22484808942092
2019-01-13,CA,1.79895240571731
2019-01-13,DE,1.9684611546341
2019-01-13,FR,2.47904763586969
2019-01-13,GB,2.0890689790751
2019-01-13,IE,4.02046724639183
2019-01-13,IT,2.17569077291043
2019-01-13,NL,1.77524848705226
2019-01-13,US,1.71575555959203
2019-01-14,AU,2.21287010147138
2019-01-14,CA,1.79642490733647
2019-01-14,DE,1.96493284698751
2019-01-14,FR,2.46931158366079
2019-01-14,GB,2.07173113331357
2019-01-14,IE,3.97573539307771
2019-01-14,IT,2.15923513662572
2019-01-14,NL,1.78695242906013
2019-01-14,US,1.71391047624908
2019-01-15,AU,2.20401449140831
2019-01-15,CA,1.79306416715008
2019-01-15,DE,1.95897366503734
2019-01-15,FR,2.44893236291228
2019-01-15,GB,2.05283758740667
2019-01-15,IE,3.93038175795691
2019-01-15,IT,2.14595455668145
2019-01-15,NL,1.7837006141543
2019-01-15,US,1.69938619456776
2019-01-16,AU,2.19441847937905
2019-01-16,CA,1.79117523702978
2019-01-16,DE,1.95510524116071
2019-01-16,FR,2.42861503850901
2019-01-16,GB,2.04680877970154
2019-01-16,IE,3.90851176339861
2019-01-16,IT,2.13726853390549
2019-01-16,NL,1.77975550753456
2019-01-16,US,1.69164357903894
2019-01-17,AU,2.18674795264238
2019-01-17,CA,1.78637985114141
2019-01-17,DE,1.95158441703131
2019-01-17,FR,2.40769903572959
2019-01-17,GB,2.04079535213285
2019-01-17,IE,3.88230273709851
2019-01-17,IT,2.12525570799967
2019-01-17,NL,1.77634406845411
2019-01-17,US,1.68481684818942
2019-01-18,AU,2.17201968129948
2019-01-18,CA,1.77950049049148
2019-01-18,DE,1.94942332738792
2019-01-18,FR,2.39180820957512
2019-01-18,GB,2.04003537658779
2019-01-18,IE,3.88417570349728
2019-01-18,IT,2.12077976754384
2019-01-18,NL,1.77707442313285
2019-01-18,US,1.68104755930551
2019-01-19,AU,2.15787473905748
2019-01-19,CA,1.77253249332961
2019-01-19,DE,1.94627968440505
2019-01-19,FR,2.37425031984442
2019-01-19,GB,2.04182545611961
2019-01-19,IE,3.8918066738645
2019-01-19,IT,2.12381300058693
2019-01-19,NL,1.78299342354199
2019-01-19,US,1.68063255388827
2019-01-20,AU,2.14240732998163
2019-01-20,CA,1.76887374442713
2019-01-20,DE,1.94290751961814
2019-01-20,FR,2.35471836240792
2019-01-20,GB,2.04264975127622
2019-01-20,IE,3.90478347727586
2019-01-20,IT,2.12879892572803
2019-01-20,NL,1.79095141418573
2019-01-20,US,1.68308406726427
2019-01-21,AU,2.12750134407433
2019-01-21,CA,1.76541208923557
2019-01-21,DE,1.93931178877309
2019-01-21,FR,2.33464765631476
2019-01-21,GB,2.04388593021778
2019-01-21,IE,3.92117368411733
2019-01-21,IT,2.13020441906155
2019-01-21,NL,1.7976204303103
2019-01-21,US,1.68482242844393
2019-01-22,AU,2.11118284353282
2019-01-22,CA,1.76038909004402
2019-01-22,DE,1.93822744436321
2019-01-22,FR,2.32896840833457
2019-01-22,GB,2.04633291651078
2019-01-22,IE,3.92866522189299
2019-01-22,IT,2.12210056924253
2019-01-22,NL,1.8038434116028
2019-01-22,US,1.69310512901255
2019-01-23,AU,2.09607155654818
2019-01-23,CA,1.75767082285007
2019-01-23,DE,1.93822904926252
2019-01-23,FR,2.32370687962572
2019-01-23,GB,2.04405897952678
2019-01-23,IE,3.91441061784786
2019-01-23,IT,2.11741221095254
2019-01-23,NL,1.81185481728217
2019-01-23,US,1.7010759468656
2019-01-24,AU,2.07922177154358
2019-01-24,CA,1.7539298306382
2019-01-24,DE,1.93771522240699
2019-01-24,FR,2.32080010720601
2019-01-24,GB,2.0448579703211
2019-01-24,IE,3.91543681043056
2019-01-24,IT,2.11294092362824
2019-01-24,NL,1.81966789983942
2019-01-24,US,1.70763909748054
2019-01-25,AU,2.06983380897336
2019-01-25,CA,1.7584224401375
2019-01-25,DE,1.9378670113355
2019-01-25,FR,2.31289591183277
2019-01-25,GB,2.04615585723184
2019-01-25,IE,3.89259932877817
2019-01-25,IT,2.10430957677669
2019-01-25,NL,1.8265745208041
2019-01-25,US,1.71468793558123
2019-01-26,AU,2.0612712370769
2019-01-26,CA,1.75161488605618
2019-01-26,DE,1.93907470954127
2019-01-26,FR,2.30598993448609
2019-01-26,GB,2.04457825471232
2019-01-26,IE,3.8757354233361
2019-01-26,IT,2.09745987254446
2019-01-26,NL,1.8239795266364
2019-01-26,US,1.71747184797781
2019-01-27,AU,2.052170605428
2019-01-27,CA,1.74344335996991
2019-01-27,DE,1.94101447441426
2019-01-27,FR,2.29946002052841
2019-01-27,GB,2.04139053240208
2019-01-27,IE,3.85032467294828
2019-01-27,IT,2.08973651091725
2019-01-27,NL,1.82165630085108
2019-01-27,US,1.71770776298891
2019-01-28,AU,2.04650534004156
2019-01-28,CA,1.73559892171891
2019-01-28,DE,1.94530370261976
2019-01-28,FR,2.29304042777005
2019-01-28,GB,2.03750301978784
2019-01-28,IE,3.83373696787738
2019-01-28,IT,2.08744231186024
2019-01-28,NL,1.82309107792501
2019-01-28,US,1.7168465575064
2019-01-29,AU,2.04855062332851
2019-01-29,CA,1.7278715315913
2019-01-29,DE,1.95004806816323
2019-01-29,FR,2.28039707971091
2019-01-29,GB,2.03958981571693
2019-01-29,IE,3.83588733179852
2019-01-29,IT,2.10466713516045
2019-01-29,NL,1.82842561674238
2019-01-29,US,1.71831484850845
2019-01-30,AU,2.05325946195405
2019-01-30,CA,1.72142303590203
2019-01-30,DE,1.95240525899064
2019-01-30,FR,2.27196732748775
2019-01-30,GB,2.0435190890919
2019-01-30,IE,3.83693031044909
2019-01-30,IT,2.11403064341543
2019-01-30,NL,1.83216764889513
2019-01-30,US,1.723420296313
2019-01-31,AU,2.06288743435463
2019-01-31,CA,1.71793414010275
